timestamp transmit receive rx_error tx_error rx_drop tx_drop transmit receive rx_error tx_error rx_drop tx_drop 
1456943204.03 1251514566 35166558 0 0 0 0 1038166393 24320786 0 0 0 0
1456943227.33 1257170063 35378103 0 0 0 0 1044361385 24477210 0 0 0 0
1456943250.44 1267430205 35705209 0 0 0 0 1050886777 24588220 0 0 0 0
1456943274.71 1271909626 35895982 0 0 0 0 1056922890 24740253 0 0 0 0
1456943297.61 1276639948 36048661 0 0 0 0 1061811748 24830517 0 0 0 0
1456943320.95 1288241480 36479079 0 0 0 0 1071039971 25014088 0 0 0 0
1456943344.15 1295741883 36763256 0 0 0 0 1076462311 25128768 0 0 0 0
1456943367.17 1305522493 37077229 0 0 0 0 1083502921 25254708 0 0 0 0
1456943390.18 1310431018 37257643 0 0 0 0 1088112794 25373753 0 0 0 0
1456943413.21 1317151258 37475814 0 0 0 0 1093393846 25453629 0 0 0 0
1456943436.65 1327108785 37853454 0 0 0 0 1100425968 25625123 0 0 0 0
1456943459.95 1331891288 38036885 0 0 0 0 1105092943 25720868 0 0 0 0
1456943483.22 1345493230 38507623 0 0 0 0 1114926097 25910044 0 0 0 0
1456943506.12 1351531932 38729213 0 0 0 0 1119147322 25990589 0 0 0 0
1456943544.92 1361567374 39089478 0 0 0 0 1127173437 26171872 0 0 0 0
1456943568.09 1370609608 39404057 0 0 0 0 1136236570 26321697 0 0 0 0
1456943591.34 1380157210 39739672 0 0 0 0 1141672517 26460697 0 0 0 0
1456943614.4 1389641195 40059392 0 0 0 0 1148585305 26561263 0 0 0 0
1456943637.45 1395845686 40314635 0 0 0 0 1154196880 26706426 0 0 0 0
1456943660.47 1400703514 40480816 0 0 0 0 1159314059 26774760 0 0 0 0
1456943683.45 1412747661 40936376 0 0 0 0 1166192780 26910095 0 0 0 0
1456943706.8 1419305344 41225258 0 0 0 0 1171183010 26998151 0 0 0 0
1456943729.95 1432253411 41656318 0 0 0 0 1180299848 27174911 0 0 0 0
1456943752.93 1438204594 41875524 0 0 0 0 1184030142 27259902 0 0 0 0
1456943775.97 1443918296 42072095 0 0 0 0 1190851840 27377724 0 0 0 0
1456943799.31 1457125283 42590184 0 0 0 0 1195799872 27506581 0 0 0 0
1456943822.29 1463848504 42817745 0 0 0 0 1201783147 27555473 0 0 0 0
1456943845.52 1479392438 43392210 0 0 0 0 1209046355 27733629 0 0 0 0
1456943868.46 1483678731 43577026 0 0 0 0 1213873348 27801058 0 0 0 0
1456943891.48 1492012789 43876376 0 0 0 0 1222228394 27948446 0 0 0 0
1456943914.73 1501321134 44244398 0 0 0 0 1227018012 28038484 0 0 0 0
1456943937.76 1511347429 44536975 0 0 0 0 1235926153 28178181 0 0 0 0
1456943961.02 1523887047 44998772 0 0 0 0 1240828701 28306795 0 0 0 0
1456943984.01 1530252478 45206478 0 0 0 0 1247958902 28377606 0 0 0 0
1456944007.09 1538610679 45509747 0 0 0 0 1253541190 28522056 0 0 0 0
1456944030.4 1543476198 45721395 0 0 0 0 1258773664 28594386 0 0 0 0
1456944053.61 1559774243 46262437 0 0 0 0 1268459299 28746917 0 0 0 0
1456944076.8 1567552532 46573108 0 0 0 0 1272700383 28831453 0 0 0 0
1456944099.8 1576947373 46849968 0 0 0 0 1281090203 28950402 0 0 0 0
1456944122.83 1583206952 47104377 0 0 0 0 1285172804 29045756 0 0 0 0
1456944145.79 1588086335 47274518 0 0 0 0 1293471665 29168809 0 0 0 0
1456944168.8 1600945034 47713281 0 0 0 0 1298788948 29277458 0 0 0 0
