1461870505.25 3785417023 4641398 ms 1788070 ms 477527 ms 1024518 ms 191 -36 [-38, -40] dBm 743393 4643922 ms 252967 ms 1190 ms 248753 ms 20 -48 [-51, -51] dBm
1461870512.98 3804599824 4649078 ms 1794797 ms 479756 ms 1027915 ms 191 -36 [-38, -40] dBm 745756 4651635 ms 253533 ms 1193 ms 249312 ms 20 -48 [-52, -51] dBm
1461870520.69 3825164384 4656768 ms 1801525 ms 482109 ms 1031267 ms 191 -35 [-38, -39] dBm 748216 4659327 ms 254252 ms 1196 ms 250024 ms 20 -48 [-53, -50] dBm
1461870528.43 3848680870 4664482 ms 1808366 ms 484598 ms 1034792 ms 191 -36 [-39, -39] dBm 750753 4667016 ms 254669 ms 1198 ms 250430 ms 20 -48 [-52, -50] dBm
1461870536.15 3867897643 4672191 ms 1815105 ms 486949 ms 1038196 ms 191 -35 [-39, -39] dBm 753176 4674737 ms 255295 ms 1201 ms 251052 ms 20 -50 [-57, -52] dBm
1461870543.87 3890660937 4679919 ms 1821963 ms 489357 ms 1041816 ms 193 -36 [-39, -39] dBm 755713 4682434 ms 255960 ms 1201 ms 251715 ms 20 -50 [-54, -52] dBm
1461870551.59 3909605423 4687599 ms 1828178 ms 491406 ms 1045160 ms 193 -36 [-39, -39] dBm 758020 4690117 ms 256768 ms 1204 ms 252520 ms 20 -50 [-56, -52] dBm
1461870559.34 3932586104 4695322 ms 1834911 ms 493811 ms 1048721 ms 193 -35 [-38, -38] dBm 760545 4697842 ms 258051 ms 1208 ms 253812 ms 20 -50 [-53, -52] dBm
1461870567.05 3953462491 4703078 ms 1841755 ms 496267 ms 1052100 ms 195 -36 [-39, -39] dBm 766961 4705586 ms 258694 ms 1219 ms 254445 ms 20 -45 [-50, -47] dBm
1461870574.85 3973768794 4710836 ms 1848373 ms 498623 ms 1055335 ms 205 -36 [-39, -39] dBm 837856 4713398 ms 259335 ms 1221 ms 255086 ms 20 -46 [-50, -49] dBm
1461870582.75 3992009639 4718759 ms 1855289 ms 500922 ms 1058800 ms 205 -35 [-39, -39] dBm 838223 4721203 ms 259669 ms 1226 ms 255405 ms 21 -48 [-53, -50] dBm
1461870590.46 4012310181 4726384 ms 1861956 ms 503262 ms 1062097 ms 205 -35 [-39, -38] dBm 838871 4728887 ms 260656 ms 1227 ms 256403 ms 21 -48 [-51, -51] dBm
1461870598.18 4025960157 4734079 ms 1867528 ms 505016 ms 1065074 ms 205 -35 [-39, -38] dBm 839955 4736582 ms 261183 ms 1227 ms 256933 ms 21 -48 [-51, -53] dBm
1461870605.91 4045002255 4741781 ms 1874172 ms 507340 ms 1068291 ms 205 -35 [-39, -38] dBm 854383 4744303 ms 261704 ms 1230 ms 257453 ms 21 -42 [-46, -44] dBm
1461870613.64 4065876475 4749582 ms 1881012 ms 509796 ms 1071722 ms 206 -35 [-39, -38] dBm 860142 4752042 ms 262209 ms 1235 ms 257953 ms 21 -43 [-52, -43] dBm
1461870621.48 4088549851 4757386 ms 1887802 ms 512289 ms 1075182 ms 206 -36 [-39, -38] dBm 862249 4759847 ms 262717 ms 1239 ms 258455 ms 22 -43 [-52, -44] dBm
1461870629.28 4114465554 4765102 ms 1894667 ms 514847 ms 1078878 ms 208 -36 [-39, -38] dBm 864382 4767615 ms 263360 ms 1240 ms 259091 ms 23 -43 [-53, -43] dBm
1461870637.02 4137937474 4772859 ms 1901366 ms 517213 ms 1082519 ms 208 -36 [-39, -39] dBm 866767 4775376 ms 263718 ms 1247 ms 259429 ms 23 -43 [-53, -44] dBm
1461870644.83 4160717056 4780667 ms 1908133 ms 519615 ms 1086133 ms 208 -36 [-39, -38] dBm 869445 4783127 ms 264075 ms 1253 ms 259770 ms 23 -44 [-51, -45] dBm
1461870652.58 4184395263 4788359 ms 1914888 ms 522070 ms 1089704 ms 208 -36 [-39, -39] dBm 871838 4790857 ms 264632 ms 1258 ms 260318 ms 23 -43 [-53, -44] dBm
1461870660.31 4209443644 4796066 ms 1921639 ms 524597 ms 1093326 ms 208 -36 [-39, -39] dBm 873986 4798559 ms 265481 ms 1259 ms 261174 ms 24 -43 [-49, -45] dBm
1461870668.05 4232352419 4803814 ms 1928295 ms 527041 ms 1096833 ms 208 -36 [-39, -39] dBm 876321 4806350 ms 266199 ms 1262 ms 261895 ms 24 -43 [-53, -44] dBm
1461870675.87 4257865765 4811643 ms 1935330 ms 529695 ms 1100560 ms 213 -36 [-39, -38] dBm 878434 4814071 ms 266576 ms 1267 ms 262258 ms 24 -43 [-54, -44] dBm
1461870683.61 4281941848 4819324 ms 1942144 ms 532158 ms 1104181 ms 213 -36 [-39, -38] dBm 881032 4821860 ms 267161 ms 1272 ms 262835 ms 25 -42 [-52, -42] dBm
1461870691.41 10362992 4827160 ms 1948995 ms 534685 ms 1107840 ms 213 -36 [-39, -38] dBm 883159 4829648 ms 267694 ms 1272 ms 263363 ms 25 -42 [-43, -49] dBm
1461870699.29 33920883 4834982 ms 1955694 ms 537064 ms 1111441 ms 213 -35 [-39, -38] dBm 885705 4837530 ms 268059 ms 1276 ms 263717 ms 25 -44 [-50, -46] dBm
1461870707.2 60309519 4842922 ms 1962737 ms 539618 ms 1115258 ms 214 -35 [-39, -38] dBm 888055 4845418 ms 268540 ms 1279 ms 264192 ms 28 -44 [-54, -45] dBm
1461870715.0 84802344 4850695 ms 1969683 ms 542069 ms 1118976 ms 214 -35 [-39, -38] dBm 890350 4853105 ms 269139 ms 1281 ms 264783 ms 29 -47 [-52, -49] dBm
1461870722.72 108547981 4858343 ms 1976516 ms 544601 ms 1122556 ms 214 -35 [-39, -38] dBm 890904 4860812 ms 269466 ms 1284 ms 265105 ms 29 -46 [-51, -48] dBm
1461870730.5 132403975 4866104 ms 1983337 ms 547036 ms 1126215 ms 214 -35 [-39, -37] dBm 1175774 4868562 ms 269847 ms 1328 ms 265431 ms 33 -48 [-52, -50] dBm
1461870738.22 154615696 4873801 ms 1990121 ms 549335 ms 1129816 ms 214 -35 [-39, -37] dBm 1197864 4876285 ms 270463 ms 1329 ms 266041 ms 33 -47 [-52, -49] dBm
1461870745.96 174808154 4881505 ms 1997196 ms 551660 ms 1133599 ms 214 -35 [-38, -38] dBm 1200780 4883991 ms 270915 ms 1329 ms 266488 ms 33 -47 [-52, -49] dBm
1461870753.68 194068090 4889197 ms 2004081 ms 553612 ms 1137077 ms 215 -36 [-40, -39] dBm 1202926 4891674 ms 271435 ms 1330 ms 267002 ms 33 -47 [-51, -49] dBm
1461870761.39 209241670 4896898 ms 2010935 ms 555496 ms 1140571 ms 215 -36 [-39, -39] dBm 1205692 4899389 ms 271877 ms 1335 ms 267436 ms 33 -46 [-49, -50] dBm
1461870769.14 225025096 4904630 ms 2017793 ms 557262 ms 1144187 ms 215 -36 [-39, -39] dBm 1207930 4907098 ms 272342 ms 1339 ms 267890 ms 33 -48 [-52, -50] dBm
1461870776.87 245143901 4912343 ms 2024563 ms 559349 ms 1147808 ms 217 -36 [-39, -40] dBm 1210653 4914804 ms 272720 ms 1341 ms 268259 ms 33 -48 [-53, -49] dBm
1461870784.6 263252039 4920068 ms 2031346 ms 561323 ms 1151358 ms 217 -36 [-39, -40] dBm 1212814 4922535 ms 273319 ms 1345 ms 268858 ms 33 -47 [-53, -49] dBm
1461870792.33 282401029 4927758 ms 2038047 ms 563370 ms 1154939 ms 217 -37 [-40, -40] dBm 1215443 4930271 ms 273985 ms 1346 ms 269523 ms 34 -46 [-50, -49] dBm
1461870800.07 302217037 4935490 ms 2044922 ms 565597 ms 1158568 ms 217 -36 [-39, -40] dBm 1218737 4937960 ms 274371 ms 1352 ms 269896 ms 34 -48 [-52, -49] dBm
1461870807.78 324202131 4943224 ms 2051803 ms 567943 ms 1162229 ms 218 -36 [-39, -39] dBm 1220959 4945685 ms 274694 ms 1355 ms 270206 ms 34 -45 [-49, -48] dBm
1461870815.72 349853734 4951141 ms 2058954 ms 570638 ms 1165983 ms 218 -36 [-39, -39] dBm 1223790 4953645 ms 275065 ms 1358 ms 270562 ms 34 -46 [-50, -49] dBm
1461870823.85 375032797 4959289 ms 2066363 ms 573307 ms 1169948 ms 218 -36 [-39, -39] dBm 1226416 4961730 ms 276542 ms 1361 ms 272043 ms 34 -46 [-49, -50] dBm
1461870831.78 397159288 4967129 ms 2073196 ms 575496 ms 1173910 ms 218 -36 [-39, -39] dBm 1232499 4969588 ms 276890 ms 1364 ms 272385 ms 34 -47 [-49, -51] dBm
1461870839.49 415869831 4974811 ms 2079077 ms 577725 ms 1177012 ms 218 -36 [-39, -38] dBm 1355203 4977276 ms 277453 ms 1383 ms 272928 ms 35 -48 [-50, -52] dBm
1461870847.22 440656007 4982529 ms 2086031 ms 580320 ms 1180707 ms 218 -36 [-39, -38] dBm 1362352 4984973 ms 277823 ms 1387 ms 273298 ms 36 -45 [-48, -49] dBm
1461870854.94 466204904 4990231 ms 2093060 ms 583064 ms 1184344 ms 218 -36 [-39, -38] dBm 1364723 4992675 ms 278180 ms 1391 ms 273643 ms 36 -45 [-46, -52] dBm
1461870862.69 490663682 4997960 ms 2099983 ms 585704 ms 1187954 ms 219 -35 [-39, -38] dBm 1367349 5000436 ms 278555 ms 1393 ms 274011 ms 36 -46 [-47, -53] dBm
1461870870.53 515556900 5005814 ms 2106888 ms 588258 ms 1191579 ms 220 -35 [-39, -38] dBm 1369679 5008271 ms 278980 ms 1395 ms 274422 ms 36 -42 [-44, -46] dBm
1461870878.33 541877267 5013566 ms 2113899 ms 590884 ms 1195305 ms 223 -36 [-39, -38] dBm 1372023 5016002 ms 279355 ms 1396 ms 274791 ms 36 -45 [-47, -50] dBm
1461870886.04 567450782 5021270 ms 2120784 ms 593525 ms 1198910 ms 223 -36 [-39, -39] dBm 1374722 5023721 ms 279722 ms 1398 ms 275143 ms 36 -45 [-47, -51] dBm
1461870893.79 592335263 5028998 ms 2127775 ms 596087 ms 1202619 ms 223 -36 [-39, -38] dBm 1376790 5031440 ms 280057 ms 1400 ms 275467 ms 36 -45 [-47, -50] dBm
1461870901.51 618100493 5036698 ms 2134772 ms 598764 ms 1206269 ms 224 -36 [-39, -39] dBm 1391381 5039133 ms 280415 ms 1406 ms 275810 ms 37 -46 [-48, -50] dBm
1461870909.23 642308359 5044402 ms 2141582 ms 601300 ms 1209836 ms 224 -36 [-39, -39] dBm 1394346 5046844 ms 280922 ms 1408 ms 276307 ms 37 -47 [-49, -52] dBm
1461870916.96 665695966 5052104 ms 2148412 ms 603794 ms 1213415 ms 224 -36 [-39, -39] dBm 1396506 5054545 ms 281292 ms 1411 ms 276667 ms 37 -47 [-49, -52] dBm
1461870924.68 689908085 5059815 ms 2155241 ms 606295 ms 1216985 ms 224 -36 [-39, -38] dBm 1398464 5062364 ms 281633 ms 1415 ms 276995 ms 37 -42 [-46, -46] dBm
1461870932.47 714994375 5067618 ms 2162193 ms 608854 ms 1220709 ms 224 -36 [-39, -38] dBm 1401117 5070082 ms 282018 ms 1417 ms 277370 ms 37 -47 [-48, -53] dBm
1461870940.27 736205831 5075426 ms 2169172 ms 610928 ms 1224640 ms 224 -36 [-39, -38] dBm 1402996 5077906 ms 282948 ms 1419 ms 278295 ms 38 -48 [-48, -55] dBm
1461870948.09 759176085 5083250 ms 2176245 ms 613487 ms 1228461 ms 224 -35 [-39, -38] dBm 1405316 5085673 ms 283349 ms 1421 ms 278686 ms 40 -44 [-46, -47] dBm
1461870955.97 784207240 5091084 ms 2183287 ms 616140 ms 1232171 ms 224 -35 [-39, -38] dBm 1407637 5093535 ms 283685 ms 1422 ms 279006 ms 40 -44 [-53, -45] dBm
1461870963.83 809243346 5098927 ms 2190332 ms 618834 ms 1235846 ms 224 -35 [-39, -38] dBm 1410114 5101365 ms 284139 ms 1431 ms 279440 ms 40 -44 [-52, -45] dBm
1461870971.66 833503154 5106758 ms 2197377 ms 621467 ms 1239489 ms 224 -35 [-39, -38] dBm 1413034 5109228 ms 284607 ms 1435 ms 279893 ms 40 -45 [-52, -46] dBm
1461870979.4 856851223 5114410 ms 2204100 ms 623958 ms 1243014 ms 224 -35 [-39, -38] dBm 1415970 5116875 ms 284926 ms 1437 ms 280199 ms 40 -46 [-52, -47] dBm
1461870987.27 882380274 5122314 ms 2211303 ms 626680 ms 1246784 ms 224 -35 [-39, -38] dBm 1418505 5124740 ms 285402 ms 1440 ms 280666 ms 40 -45 [-52, -46] dBm
1461870995.08 907262373 5130137 ms 2218496 ms 629512 ms 1250502 ms 224 -36 [-39, -38] dBm 1420659 5132566 ms 285735 ms 1441 ms 280984 ms 40 -45 [-50, -46] dBm
1461871002.83 930752496 5137791 ms 2225368 ms 632021 ms 1254106 ms 224 -35 [-39, -38] dBm 1423531 5140266 ms 286123 ms 1446 ms 281360 ms 40 -45 [-51, -46] dBm
1461871010.67 955641931 5145668 ms 2232449 ms 634663 ms 1257792 ms 224 -35 [-39, -38] dBm 1426552 5148082 ms 286461 ms 1451 ms 281684 ms 40 -43 [-49, -45] dBm
1461871018.55 979837103 5153596 ms 2239459 ms 637273 ms 1261450 ms 226 -35 [-39, -38] dBm 1428730 5155913 ms 286947 ms 1455 ms 282166 ms 40 -46 [-52, -47] dBm
1461871026.31 1004936160 5161255 ms 2246298 ms 639872 ms 1265028 ms 226 -35 [-39, -38] dBm 1431693 5163627 ms 287648 ms 1458 ms 282860 ms 40 -44 [-50, -45] dBm
1461871034.04 1028994341 5168923 ms 2253101 ms 642327 ms 1268623 ms 226 -36 [-39, -38] dBm 1508022 5171355 ms 288084 ms 1475 ms 283272 ms 42 -43 [-51, -44] dBm
1461871041.75 1052285561 5176627 ms 2259999 ms 644835 ms 1272215 ms 226 -36 [-39, -38] dBm 1515570 5179025 ms 288437 ms 1478 ms 283610 ms 42 -45 [-47, -49] dBm
1461871049.47 1071941437 5184346 ms 2266969 ms 648127 ms 1275187 ms 226 -35 [-39, -38] dBm 1517925 5186743 ms 288828 ms 1481 ms 283987 ms 42 -44 [-46, -48] dBm
1461871057.31 1089037894 5192179 ms 2274003 ms 651335 ms 1278295 ms 226 -36 [-39, -38] dBm 1520116 5194551 ms 289341 ms 1482 ms 284490 ms 43 -45 [-47, -49] dBm
1461871065.12 1109277763 5200000 ms 2280993 ms 654443 ms 1281482 ms 226 -36 [-40, -38] dBm 1522358 5202418 ms 289722 ms 1487 ms 284856 ms 43 -44 [-45, -48] dBm
1461871073.05 1126593806 5207903 ms 2287304 ms 657244 ms 1284283 ms 226 -35 [-40, -37] dBm 1525023 5210234 ms 290058 ms 1491 ms 285181 ms 44 -46 [-47, -53] dBm
1461871080.77 1138303776 5215565 ms 2293445 ms 660338 ms 1286723 ms 227 -36 [-39, -38] dBm 1527062 5217933 ms 290512 ms 1493 ms 285623 ms 44 -46 [-47, -52] dBm
1461871088.48 1152322651 5223233 ms 2300137 ms 663896 ms 1289208 ms 228 -36 [-40, -38] dBm 1529413 5225616 ms 290911 ms 1495 ms 286012 ms 44 -45 [-46, -53] dBm
1461871096.19 1167260468 5230928 ms 2306902 ms 667400 ms 1291794 ms 228 -35 [-39, -38] dBm 1531861 5233293 ms 291494 ms 1498 ms 286587 ms 44 -45 [-47, -53] dBm
1461871103.92 1184405267 5238656 ms 2313700 ms 670649 ms 1294659 ms 228 -35 [-39, -38] dBm 1534727 5241024 ms 291965 ms 1504 ms 287043 ms 44 -47 [-50, -50] dBm
1461871111.63 1201111598 5246341 ms 2319861 ms 673284 ms 1297462 ms 228 -36 [-39, -38] dBm 1536680 5248690 ms 292965 ms 1507 ms 288039 ms 44 -48 [-53, -50] dBm
1461871119.36 1215223007 5254077 ms 2326237 ms 676060 ms 1300297 ms 228 -36 [-39, -38] dBm 1539003 5256397 ms 294343 ms 1511 ms 289430 ms 44 -47 [-52, -48] dBm
1461871127.07 1229579481 5261746 ms 2332511 ms 679067 ms 1302818 ms 228 -36 [-39, -38] dBm 1541431 5264092 ms 294883 ms 1514 ms 289960 ms 44 -46 [-51, -47] dBm
1461871134.81 1243596602 5269458 ms 2338933 ms 682243 ms 1305368 ms 228 -36 [-39, -39] dBm 1543810 5271822 ms 295286 ms 1516 ms 290353 ms 44 -46 [-52, -47] dBm
1461871142.58 1256548329 5277227 ms 2345315 ms 685338 ms 1307987 ms 228 -36 [-39, -39] dBm 1546391 5279593 ms 295766 ms 1516 ms 290826 ms 44 -45 [-51, -47] dBm
1461871150.37 1271156587 5284989 ms 2351586 ms 688110 ms 1310753 ms 228 -36 [-39, -39] dBm 1548556 5287363 ms 296265 ms 1519 ms 291316 ms 44 -47 [-53, -48] dBm
1461871158.08 1288670967 5292681 ms 2358187 ms 690958 ms 1313685 ms 229 -36 [-39, -39] dBm 1551128 5295038 ms 296826 ms 1522 ms 291871 ms 44 -47 [-50, -51] dBm
1461871165.79 1298444117 5300375 ms 2365175 ms 694359 ms 1316607 ms 229 -36 [-39, -39] dBm 1553112 5302784 ms 297297 ms 1524 ms 292335 ms 44 -48 [-50, -51] dBm
1461871173.57 1308285138 5308203 ms 2372317 ms 697586 ms 1319719 ms 229 -35 [-39, -38] dBm 1555618 5310510 ms 297927 ms 1527 ms 292956 ms 44 -47 [-50, -51] dBm
1461871181.38 1317487123 5315978 ms 2379402 ms 700916 ms 1322658 ms 229 -35 [-39, -38] dBm 1557927 5318272 ms 298453 ms 1530 ms 293481 ms 44 -47 [-49, -51] dBm
1461871189.13 1323782371 5323664 ms 2386375 ms 705024 ms 1324868 ms 240 -36 [-39, -39] dBm 1560695 5325999 ms 299027 ms 1532 ms 294052 ms 44 -46 [-50, -49] dBm
1461871196.86 1330558804 5331364 ms 2392965 ms 708398 ms 1327429 ms 240 -36 [-39, -39] dBm 1562929 5333717 ms 300092 ms 1534 ms 295113 ms 44 -47 [-56, -48] dBm
1461871204.57 1338037906 5339056 ms 2399945 ms 712297 ms 1329848 ms 248 -36 [-39, -39] dBm 1565419 5341394 ms 300712 ms 1538 ms 295724 ms 44 -48 [-51, -51] dBm
1461871212.28 1343783889 5346746 ms 2406771 ms 716162 ms 1332132 ms 248 -36 [-38, -39] dBm 1585135 5349080 ms 301240 ms 1545 ms 296240 ms 44 -50 [-51, -56] dBm
1461871220.01 1352322188 5354462 ms 2413641 ms 719724 ms 1334811 ms 248 -35 [-39, -38] dBm 1587455 5356782 ms 301812 ms 1548 ms 296808 ms 44 -50 [-53, -52] dBm
1461871227.71 1362460534 5362177 ms 2420591 ms 723044 ms 1337810 ms 248 -35 [-39, -38] dBm 1663582 5364482 ms 302329 ms 1560 ms 297313 ms 44 -51 [-56, -52] dBm
1461871235.42 1377930257 5369860 ms 2426929 ms 726189 ms 1340294 ms 248 -35 [-39, -38] dBm 1665464 5372196 ms 302911 ms 1561 ms 297891 ms 44 -50 [-56, -51] dBm
1461871243.15 1386144236 5377596 ms 2432378 ms 729013 ms 1342261 ms 249 -35 [-39, -37] dBm 1665933 5379864 ms 303506 ms 1566 ms 298477 ms 44 -49 [-53, -52] dBm
1461871250.87 1396946010 5385260 ms 2437892 ms 731553 ms 1344482 ms 249 -35 [-39, -37] dBm 1683910 5387609 ms 304213 ms 1568 ms 299184 ms 44 -49 [-52, -52] dBm
1461871258.65 1407548280 5393077 ms 2443526 ms 734288 ms 1346664 ms 249 -35 [-39, -37] dBm 1683910 5395446 ms 304827 ms 1569 ms 299797 ms 44 -49 [-52, -52] dBm
1461871266.43 1423941204 5400790 ms 2450139 ms 737340 ms 1349437 ms 249 -35 [-39, -37] dBm 1683910 5403086 ms 305301 ms 1571 ms 300273 ms 44 -49 [-52, -52] dBm
