1461096708.9 367048951 896258 ms 118961 ms 555490 ms 25334 -38 [-40, -44] dBm 411980568 759580 ms 36259 ms 724716 ms 5559 -47 [-51, -49] dBm
1461096716.73 369428247 898115 ms 119448 ms 556385 ms 25514 -39 [-40, -44] dBm 414283188 760683 ms 36453 ms 725614 ms 5594 -48 [-52, -50] dBm
1461096724.5 371872505 900219 ms 119919 ms 557581 ms 25587 -39 [-40, -45] dBm 416492148 761437 ms 36646 ms 726171 ms 5626 -47 [-52, -49] dBm
1461096732.63 374315061 902436 ms 120432 ms 558851 ms 25795 -35 [-37, -42] dBm 418842408 762892 ms 36849 ms 727418 ms 5656 -47 [-51, -49] dBm
1461096740.66 376685357 904242 ms 120915 ms 559767 ms 25949 -36 [-38, -42] dBm 421154541 764534 ms 37045 ms 728864 ms 5700 -46 [-51, -48] dBm
1461096748.39 378957211 906181 ms 121387 ms 560814 ms 26091 -39 [-40, -45] dBm 423565989 765913 ms 37255 ms 730034 ms 5743 -48 [-51, -50] dBm
1461096755.87 381468369 908253 ms 121832 ms 562060 ms 26191 -35 [-36, -41] dBm 425957198 766811 ms 37457 ms 730712 ms 5769 -48 [-52, -51] dBm
1461096763.4 383935103 910559 ms 122298 ms 563186 ms 26350 -33 [-34, -38] dBm 428486370 767472 ms 37687 ms 731114 ms 5820 -48 [-53, -50] dBm
1461096770.85 386329805 914191 ms 122782 ms 564240 ms 26530 -35 [-36, -41] dBm 430971835 768099 ms 37887 ms 731517 ms 5860 -49 [-54, -50] dBm
1461096778.39 388822555 916530 ms 123245 ms 565680 ms 26679 -39 [-40, -45] dBm 433443195 768850 ms 38106 ms 732024 ms 5908 -47 [-52, -49] dBm
1461096785.98 391184471 918523 ms 123710 ms 566813 ms 26829 -38 [-39, -44] dBm 435845439 769465 ms 38315 ms 732406 ms 5947 -47 [-52, -49] dBm
1461096793.55 393406219 920907 ms 124231 ms 568265 ms 26978 -35 [-37, -41] dBm 438442501 770092 ms 38540 ms 732785 ms 5991 -47 [-52, -49] dBm
1461096801.06 395948261 922937 ms 124736 ms 569400 ms 27093 -35 [-36, -40] dBm 440918377 770870 ms 38755 ms 733342 ms 6035 -48 [-51, -50] dBm
1461096808.58 398447147 925122 ms 125286 ms 570670 ms 27218 -34 [-36, -40] dBm 443403977 771527 ms 38960 ms 733774 ms 6069 -49 [-54, -50] dBm
1461096816.14 400946853 927550 ms 125778 ms 572210 ms 27383 -36 [-37, -41] dBm 445794994 772161 ms 39177 ms 734166 ms 6108 -48 [-53, -50] dBm
1461096823.72 403501277 929170 ms 126241 ms 573040 ms 27465 -38 [-40, -45] dBm 448321578 772760 ms 39393 ms 734515 ms 6156 -48 [-53, -50] dBm
1461096831.27 406059989 931165 ms 126726 ms 574180 ms 27604 -36 [-37, -42] dBm 450760638 773380 ms 39602 ms 734903 ms 6206 -48 [-51, -51] dBm
1461096838.83 408591151 933169 ms 127205 ms 575383 ms 27772 -33 [-35, -38] dBm 453256456 774152 ms 39814 ms 735449 ms 6238 -49 [-52, -51] dBm
